model,category,total_queries,hallucinations_detected,hallucination_rate,precision,recall,f1_score
GPT-4,protein_function,15,2,0.133,0.89,0.78,0.83
GPT-4,ms_interpretation,13,5,0.385,0.72,0.83,0.77
GPT-4,clinical_context,10,3,0.300,0.84,0.75,0.79
GPT-4,ptms,7,1,0.143,0.92,0.71,0.80
GPT-4,disease_association,5,1,0.200,0.88,0.73,0.80
GPT-4,overall,50,12,0.240,0.85,0.76,0.80
Claude-3-Opus,protein_function,15,1,0.067,0.93,0.84,0.88
Claude-3-Opus,ms_interpretation,13,4,0.308,0.81,0.88,0.84
Claude-3-Opus,clinical_context,10,2,0.200,0.89,0.82,0.85
Claude-3-Opus,ptms,7,1,0.143,0.94,0.76,0.84
Claude-3-Opus,disease_association,5,1,0.200,0.91,0.78,0.84
Claude-3-Opus,overall,50,9,0.180,0.90,0.82,0.86
Claude-3-Sonnet,protein_function,15,2,0.133,0.91,0.81,0.86
Claude-3-Sonnet,ms_interpretation,13,4,0.308,0.78,0.85,0.81
Claude-3-Sonnet,clinical_context,10,2,0.200,0.87,0.79,0.83
Claude-3-Sonnet,ptms,7,1,0.143,0.93,0.74,0.82
Claude-3-Sonnet,disease_association,5,1,0.200,0.90,0.76,0.82
Claude-3-Sonnet,overall,50,10,0.200,0.88,0.79,0.83
Gemini-Pro,protein_function,15,4,0.267,0.82,0.71,0.76
Gemini-Pro,ms_interpretation,13,6,0.462,0.65,0.78,0.71
Gemini-Pro,clinical_context,10,4,0.400,0.78,0.69,0.73
Gemini-Pro,ptms,7,2,0.286,0.86,0.65,0.74
Gemini-Pro,disease_association,5,2,0.400,0.81,0.68,0.74
Gemini-Pro,overall,50,18,0.360,0.78,0.70,0.74
