analysis_type,parameter,estimate,std_error,95_ci_lower,95_ci_upper,p_value,significance
overall_rate,hallucination_rate_percent,31.2,1.3,28.7,33.8,<0.001,***
model_comparison,claude_vs_gpt4,0.78,0.12,0.54,1.02,0.041,*
model_comparison,claude_vs_gemini,0.72,0.11,0.50,0.94,<0.001,***
model_comparison,gpt4_vs_gemini,0.92,0.13,0.66,1.18,0.235,ns
logistic_regression,complexity_or,5.1,0.6,4.1,6.4,<0.001,***
logistic_regression,prevalence_or,5.4,0.5,4.5,6.5,<0.001,***
logistic_regression,ptm_domain_or,2.1,0.3,1.5,2.9,<0.001,***
logistic_regression,model_effect_or,1.3,0.2,0.9,1.8,0.156,ns
complexity_effect,simple_vs_intermediate,2.1,0.4,1.4,3.2,<0.001,***
complexity_effect,intermediate_vs_complex,1.8,0.3,1.3,2.5,<0.001,***
complexity_effect,simple_vs_complex,3.8,0.7,2.6,5.5,<0.001,***
prevalence_effect,common_vs_moderate,2.3,0.4,1.6,3.3,<0.001,***
prevalence_effect,moderate_vs_rare,1.7,0.3,1.2,2.4,<0.001,***
prevalence_effect,common_vs_rare,3.9,0.8,2.5,6.1,<0.001,***
domain_effect,protein_id_vs_quant,1.6,0.3,1.1,2.3,0.012,*
domain_effect,protein_id_vs_ptm,2.3,0.4,1.6,3.3,<0.001,***
domain_effect,protein_id_vs_interactions,2.0,0.4,1.3,3.0,0.001,**
domain_effect,protein_id_vs_clinical,1.9,0.3,1.3,2.8,0.002,**
chi_square,overall_model_comparison,8.42,NA,NA,NA,0.015,*
chi_square,complexity_effect,156.7,NA,NA,NA,<0.001,***
chi_square,prevalence_effect,178.3,NA,NA,NA,<0.001,***
chi_square,domain_effect,67.8,NA,NA,NA,<0.001,***
bonferroni_correction,alpha_level,0.05,NA,NA,NA,NA,NA
bonferroni_correction,comparisons,15,NA,NA,NA,NA,NA
bonferroni_correction,corrected_alpha,0.00333,NA,NA,NA,NA,NA
effect_size,complexity_cohens_d,0.89,0.08,0.73,1.05,<0.001,large
effect_size,prevalence_cohens_d,0.94,0.09,0.76,1.12,<0.001,large
effect_size,domain_cohens_d,0.52,0.07,0.38,0.66,<0.001,medium
temporal_stability,cohens_kappa,0.91,0.03,0.85,0.97,<0.001,***
temporal_stability,test_retest_correlation,0.94,0.02,0.90,0.98,<0.001,***
inter_rater,ground_truth_kappa,0.89,0.03,0.83,0.95,<0.001,***
inter_rater,evaluation_kappa,0.87,0.03,0.81,0.93,<0.001,***
sample_size,total_responses,1500,NA,NA,NA,NA,NA
sample_size,responses_per_model,500,NA,NA,NA,NA,NA
sample_size,power_analysis,0.95,NA,0.92,0.98,NA,adequate
calibration,c_statistic,0.79,0.04,0.71,0.87,<0.001,good
calibration,hosmer_lemeshow_p,0.342,NA,NA,NA,0.342,good_fit
